video_filename,fragment,predictions,text
C:/Users/Bobo/Downloads/task1\ER22_AFL01_MXF.mov,0,happiness,I really feel every tension every nerve of every woman sitting there and every thought I also feel so many different women all those emotions you all see in those faces Expedition Robinson now means a very cool new adventure for me and really the opportunity to get in oneTo get to know very different setting and I am very curious how I will respond to everything may not be entitled to our pirates here he looks quite a lotfuller muscular you have everything in between and I am just very curious what I'm going to do with these men now and how this adventure will run at all oh my god we have produced so long welcome here in Malaysia and then Nicolette comes and then you know the gameis on expedition robinson started here the great adventure starts the adventure of which only the strongest and the smartest you are with no fewer than 21 expedition members a mix of strength endurance balance and intelligence there is a period before you of 35 days and I already promise you in advanceYou are really going to come across yourself hard you will have to prove you and taste the very heavy and of course
C:/Users/Bobo/Downloads/task1\ER22_AFL01_MXF.mov,1,grief,Still no cancer I am of course digging to 20 cm yes I really didn't see anything I had something like yes okay I am going to try somewhere else and at some point while digging I see a kind of yes an air room or something itSand was already soft but it was even softer inside and then you saw something bubbling but I had something like no that will not be yes the first poker has been found up by London and I have that tube I just have
C:/Users/Bobo/Downloads/task1\ER22_AFL01_MXF.mov,2,happiness,Two more tubes in the game important tubes I am lucky now so I think I just go to this place where I am now digging and I just hope that I can get that tube out of the sand with my mental energy like that with my mental energy like thatAnd I dig dig and I feel nothing so I think I am going to see it better where is it not yet dug where is everyone very busy and I had to catch my breath I have to say yes just grave as a men I felt meSo at some point so dirty I had at some point just a snottebel really hanging from here to here what just didn't flourish me maybe I really should really rub and then just through by by by by by by by by by by by by by byby feeling Grave
C:/Users/Bobo/Downloads/task1\ER22_AFL01_MXF.mov,3,Scared,At one point I was digging with two fingers because I no longer had no strength so it was really yes let me just do something and suddenly I feel something you have it right next to me I have something I have something I haveSee a happy face oh no oh no google ok kid I had him dead hahaha daylight elias is a happier congratulations and I think yes no this is my tube this is my tube but yes I was just not in the right place
C:/Users/Bobo/Downloads/task1\ER22_AFL01_MXF.mov,4,surprise,"Then you have the idea that all that sand has already been plowed and that we actually have to do it again from A to Z how can this be true that grab tube triangle is the 3rd card dug up lisa is the lucky congratulations first test weHAS if one of the winners can be in between yes I would not have dared to dream, but that feels so good that is so nice"
C:/Users/Bobo/Downloads/task1\ER22_AFL01_MXF.mov,5,happiness,"3 2 1 we immediately have a strategy it is because I get it as soon as possible in that tower I hold on to ferry's legs and that went very hard with one arm paddle I hold the other arm I hold it I am notFirst of all at the rope but I do have the first to keep up so that is at least in front of me and I actually go a kind of in a very nice light almost like a showgirl I just go up before I know it I standUpstairs in the tower there Jiva goes up for 10 horse up I can be the first to raise after that we have agreed the rose that is also light and then we throw a rope down and I have decided not to go to the other teamswatching I'm just just busy with what I have to doWe are going pretty smoothly we help keep a bit wet tight for the first pair of climbers it really gets much easier, but then they are also quickly having to loosen 12 knots but I don't see the knots and I don't understand what they mean and I understand and I don't understand what they mean andIn the meantime, Kirsten is also hoisted upstairs and she comes up and I help there I don't see it I thought here too we are my first thing I have to do and right I don't see it then we just just stand at that loopsI think throwing loose because in the meantime I see at the camp next to me that they have that rope ladder that they already have it down okay google the climb against that just that I found very heavy yes and then I got a hand from London and also one from Niek but butthat of niek who slipped I think ohAnd while we have to jump I think oh this I really don't dare at all and everyone jumps I think okay and I jump in well I survive it at home is the first and I grab that pole and I see that I am first on itBeach so I am the first to put the left pole in the box and we had an agreed half my wife we are going to lift then we come to the second obstacle to a kind of vertebra just of all ropes that we know a box I know a lot of kilos through itPulling and I already see that the bottom left of the eight ropes are six ropes already open on the left and then you just have to go a little bit all the teams start the rope just agreed that the men were going to wear everything and that the woman all ropeswell to hold and actually that just went very smoothly the orange in the lead we just have a good team we have a good team very nice really very happy with it"
C:/Users/Bobo/Downloads/task1\ER22_AFL01_MXF.mov,6,happiness,"I had appointed myself together with Vincent to solve that puzzle yes at some point with some push and pull we get that thing through well then we arrive at the puzzle okay the red thing that has to get out on the sides are twoBlue things that are a bit longer and below you all have yellow boxes and you have to slide with that in the beginning and I thought yes we have to get that red to the side and see a way down through the side I have the blueprint I haveIn my head and it goes very well and in the end Dennis gives the golden tip from Hey GoogleYes yes yes yes top yes we have one while we are only two parts to go I heard behind me calling kirsten who said something about the puzzle tours there so I think Kirsten changes with me at the moment so that you can just finish the puzzle right awayBecause this just goes on time and anyone who at that moment has the best outcome yes they just have to make it make that fire is going yes pretty fast but before you finally have that fire burning well yes you have to continue it and startWith the fire, there are already two teams busy with fire and we are still with that damn puzzle in the weather Harry and Niek are starting on the fire at Team Groen while team Horse is still struggling through the bus stop I have 3 months every dayFor a long time I think 400 in the garden building fire stacking for taking some time what fire always needs timeAt a certain point I think shit people are already done with that puzzle and I can't do anything but wait I can hardly say yes, I get up because then I am not fitting my team and then we can step back and we can step back and we can step back and thenCan that dish up and then it is waiting faster but a fire cannot let you go faster than it goes ok Google the moment that the wok can run up four people including myselfIs all in Balans.nl to blow again and I get smoke in my face and snot from my nose tearing eyes and then I thought ok maybe you can have someone else better and juultje and it also burns but I just don't want handsome orangethe short and the key has been released with the chest at the keyWe have not agreed not to order but I just think I grab that ball and I will shoot and I put my weight and speed good but the direction was not good so I immediately said to people okay your weight in it and that is at least that isimportant so that that ball gets enough speed a bit he shoots and I think only we can win we can win we have to continue if you want this thing just hire I have practiced twice to make fire and twice and twiceit also works well for the first empireDoes not matter does not matter from 10 purple also burning we are just shot here while we are making fire, I see with the other teams that the catapult thing is not going so well so I think this battle isNot yet fiddled really not you first have to hit just three times and we have a few snipers in the team so I think let's go we are just going because of everything is still possible there that purple to the Orange is okay Google againIn the past when I went on vacation I played a lot with a slingshot that was not as big as this one but you know how it works a lot of boredom and then you go on targets smycken what I learned from my nephews in Morocco"
C:/Users/Bobo/Downloads/task1\ER22_AFL01_MXF.mov,7,happiness,one broken for 10 green one broken for team orange one broken for 10 purple goes right on the second in it but that focus boost high it must keep looking this you don't we have won we just won the first asset is really I have I havenever thought that gives such a nice feeling
C:/Users/Bobo/Downloads/task1\ER22_AFL01_MXF.mov,8,happiness,"Yes it is my first day today that means that I am extra sharp and my eyes do not have my pocket but harry I chase so well with that fire you think I immediately stop that flint in my pocket no penalty points hey I deserve that I deserveYes I thought I was smart, I had been completely nervous in advance for weeks how should I make fire if there is no firestick and I thought yes we should have one and yes I knew one I think about it I thinkYes maybe I can take them with Harry yellow cards yes okay yes if you don't try it you don't know what I can I will not do anymore orange you were in the lead that puzzle that went just to the other wholeQuick lisa what do you think of your team yes I am really mega proud of my team super nice people they can all do something else and I am just proud we went super nice yes bales of the language yes in the end it just got a kind of neck onNekrace was the very close ilias your first shot I think it's fantastic only that puzzle yes that puzzle went completely wrong no this expedition there are three camps camp west camp north and camp southeast you are the winning team Groen you go to camp west and I can I canYou tell you during the good and team green because you are the winners and you not only captain but also chef I also have something for this man who guys that spirit also congratulated orange you go to camp south and 10 purple you go to campNorth there you should not win the first test based on preparing that there is just a bit of a fuck really we were actually so close again"
C:/Users/Bobo/Downloads/task1\ER22_AFL01_MXF.mov,9,happiness,The teams each leave for an uninhabited island with people they just met a few hours ago you sit with people you don't know but immediately you can because you have won together so everyone is very happy on the boat I feel meDelicious I fly very satisfied robinson couldn't start better
