"demo_role","demo_gender","demo_age","demo_domain","demo_experience","demo_ai_know","ml_dl_famil","aware_dom","ai_courses","aware_everyday","used_ai","att_pos_1","att_pos_2","att_pos_3","att_pos_4","att_neg_1","att_neg_2","att_neg_3","acc_1","acc_2","acc_3","acc_4","acc_5","acc_6"
"2","1","7","8","6","14",4,5,2,4,5,4,3,4,4,1,4,1,5,5,4,5,18,4
"2","2","3","8","3","15",2,2,3,4,5,5,4,4,5,4,3,4,4,4,4,4,19,5
"1","1","2","8","1","14",4,4,1,4,4,4,4,4,4,4,3,2,4,4,4,3,18,4
"1","2","2","8","2","15",2,2,1,4,2,2,1,2,2,3,2,3,2,1,2,4,16,2
"1","1","2","8","1","15",4,4,2,4,5,4,5,3,5,2,5,4,2,3,4,2,17,4
"1","2","2","8","4","15",2,4,2,4,4,5,4,4,4,4,3,3,2,4,2,2,18,4
"1","2","2","8","1","15",4,2,1,4,1,5,4,2,4,3,4,2,4,3,4,4,19,4
"1","2","2","8","3","15",2,3,1,4,2,4,3,3,4,3,4,4,3,2,4,4,18,4
"1","2","2","8","1","15",1,4,2,5,3,4,4,4,4,2,2,2,1,1,2,1,15,1
"1","2","2","8","2","15",5,3,5,5,2,2,2,4,2,3,5,4,2,3,1,3,17,2
"1","1","2","8","2","15",2,2,1,4,2,5,4,4,5,3,2,4,3,4,2,3,17,4
"1","2","2","8","2","14",3,4,3,4,4,5,4,3,4,3,3,3,3,4,4,3,17,4
"1","2","2","8","1","16",2,2,3,4,3,5,4,4,4,4,2,1,4,4,5,4,18,4
"1","2","2","8","2","14",4,3,2,4,3,4,4,4,2,1,2,2,5,5,5,5,18,4
"1","2","2","8","4","14",2,4,4,4,2,4,4,4,4,2,4,4,4,4,4,4,18,1
"1","1","2","8","1","15",4,4,4,4,4,5,4,3,4,4,4,1,2,4,4,2,18,4
"1","2","2","8","1","14",1,4,1,4,4,4,1,4,4,3,3,2,2,1,4,4,18,3
"1","2","2","8","2","15",2,4,1,4,4,3,3,3,3,2,3,2,4,3,3,3,18,4
"1","2","2","8","1","15",4,4,1,5,4,5,5,4,4,4,4,3,4,4,2,4,16,3
"1","2","2","8","1","15",4,4,3,3,4,3,5,4,3,2,2,2,4,2,4,3,18,2
