"demo_role","demo_gender","demo_age","demo_domain","demo_experience","demo_ai_know","f_aifm_energy","f_aifm_importance","f_aifm_impact","f_aifm_necessity","f_aifm_key_roles"
"2","1","7","8","6","14",5,14,13,7,"1,2,3,4,5"
"2","2","3","8","3","15",5,15,12,10,"1,2,3,4,5"
"1","1","2","8","1","14",4,13,13,8,"1,2,3,4"
"1","2","2","8","2","15",3,12,11,6,"1,3"
"1","1","2","8","1","15",4,13,13,9,"1,2,3,4"
"1","1","2","8","1","15",5,14,13,9,"1,2,3,4"
"1","2","2","8","4","15",4,14,13,9,"2,3,4"
"1","2","2","8","1","15",4,14,13,10,"2,3"
"1","1","2","8","1","14",3,12,13,9,"1,2,3"
"1","2","2","8","2","15",4,13,13,9,"2,3"
"1","1","2","8","1","14",5,14,13,10,"1,2,3,4,5"
"1","2","2","8","2","14",4,12,12,7,"2,4"
"1","2","2","8","2","16",4,13,13,8,"1,2,4"
"1","2","2","8","4","14",5,14,13,9,"3"
"1","2","2","8","2","16",4,15,13,9,"3,4"
"1","2","2","8","1","14",4,12,11,6,"2,4"
"1","1","2","8","1","15",4,14,13,10,"1,2,3,4"
"1","2","3","8","1","14",5,15,14,10,"1,2,3,4"
"1","2","2","8","2","16",4,13,13,8,"2"
"1","2","2","8","2","16",4,13,13,8,"1,2,3,4"
"1","2","2","8","1","14",4,13,13,7,"1,2"
"1","2","2","8","2","17",4,14,13,8,"2"
"1","2","2","8","1","15",4,13,13,10,"2,3"
"1","2","2","8","1","14",5,14,14,10,"1,2,3,4,5"
"1","2","2","8","1","17",3,14,13,10,"1,3,4"
"1","1","2","8","2","14",4,13,13,10,"3,4"
"1","2","2","8","1","15",4,14,14,9,"1,2,3,4"
