"demo_role","demo_gender","demo_age","demo_domain","demo_experience","demo_ai_know","f_aifm_energy","f_aifm_importance","f_aifm_impact","f_aifm_necessity","f_aifm_key_roles"
"Educator","Male","> 65","Facility","10 - 20 years","Somewhat good","Definitely yes","Very important","Somewhat positive","Somewhat disagree","Space Optimization,Energy Efficiency,Predictive Maintenance,Security,Other (please specify)"
"Educator","Female","25-34","Facility","6 - 12 months","Neither good nor bad","Definitely yes","Extremely important","Neither positive nor negative","Strongly agree","Space Optimization,Energy Efficiency,Predictive Maintenance,Security,Other (please specify)"
"Student","Male","18-24","Facility","2 - 5 years","Somewhat good","Probably yes","Moderately important","Somewhat positive","Neither agree nor disagree","Space Optimization,Energy Efficiency,Predictive Maintenance,Security"
"Student","Female","18-24","Facility","0 - 6 months","Neither good nor bad","Might or might not","Slightly important","Somewhat negative","Strongly disagree","Space Optimization,Predictive Maintenance"
"Student","Male","18-24","Facility","2 - 5 years","Neither good nor bad","Probably yes","Moderately important","Somewhat positive","Somewhat agree","Space Optimization,Energy Efficiency,Predictive Maintenance,Security"
"Student","Male","18-24","Facility","2 - 5 years","Neither good nor bad","Definitely yes","Very important","Somewhat positive","Somewhat agree","Space Optimization,Energy Efficiency,Predictive Maintenance,Security"
"Student","Female","18-24","Facility","1 - 2 years","Neither good nor bad","Probably yes","Very important","Somewhat positive","Somewhat agree","Energy Efficiency,Predictive Maintenance,Security"
"Student","Female","18-24","Facility","2 - 5 years","Neither good nor bad","Probably yes","Very important","Somewhat positive","Strongly agree","Energy Efficiency,Predictive Maintenance"
"Student","Male","18-24","Facility","2 - 5 years","Somewhat good","Might or might not","Slightly important","Somewhat positive","Somewhat agree","Space Optimization,Energy Efficiency,Predictive Maintenance"
"Student","Female","18-24","Facility","0 - 6 months","Neither good nor bad","Probably yes","Moderately important","Somewhat positive","Somewhat agree","Energy Efficiency,Predictive Maintenance"
"Student","Male","18-24","Facility","2 - 5 years","Somewhat good","Definitely yes","Very important","Somewhat positive","Strongly agree","Space Optimization,Energy Efficiency,Predictive Maintenance,Security,Other (please specify)"
"Student","Female","18-24","Facility","0 - 6 months","Somewhat good","Probably yes","Slightly important","Neither positive nor negative","Somewhat disagree","Energy Efficiency,Security"
"Student","Female","18-24","Facility","0 - 6 months","Somewhat bad","Probably yes","Moderately important","Somewhat positive","Neither agree nor disagree","Space Optimization,Energy Efficiency,Security"
"Student","Female","18-24","Facility","1 - 2 years","Somewhat good","Definitely yes","Very important","Somewhat positive","Somewhat agree","Predictive Maintenance"
"Student","Female","18-24","Facility","0 - 6 months","Somewhat bad","Probably yes","Extremely important","Somewhat positive","Somewhat agree","Predictive Maintenance,Security"
"Student","Female","18-24","Facility","2 - 5 years","Somewhat good","Probably yes","Slightly important","Somewhat negative","Strongly disagree","Energy Efficiency,Security"
"Student","Male","18-24","Facility","2 - 5 years","Neither good nor bad","Probably yes","Very important","Somewhat positive","Strongly agree","Space Optimization,Energy Efficiency,Predictive Maintenance,Security"
"Student","Female","25-34","Facility","2 - 5 years","Somewhat good","Definitely yes","Extremely important","Extremely positive","Strongly agree","Space Optimization,Energy Efficiency,Predictive Maintenance,Security"
"Student","Female","18-24","Facility","0 - 6 months","Somewhat bad","Probably yes","Moderately important","Somewhat positive","Neither agree nor disagree","Energy Efficiency"
"Student","Female","18-24","Facility","0 - 6 months","Somewhat bad","Probably yes","Moderately important","Somewhat positive","Neither agree nor disagree","Space Optimization,Energy Efficiency,Predictive Maintenance,Security"
"Student","Female","18-24","Facility","2 - 5 years","Somewhat good","Probably yes","Moderately important","Somewhat positive","Somewhat disagree","Space Optimization,Energy Efficiency"
"Student","Female","18-24","Facility","0 - 6 months","Extremely bad","Probably yes","Very important","Somewhat positive","Neither agree nor disagree","Energy Efficiency"
"Student","Female","18-24","Facility","2 - 5 years","Neither good nor bad","Probably yes","Moderately important","Somewhat positive","Strongly agree","Energy Efficiency,Predictive Maintenance"
"Student","Female","18-24","Facility","2 - 5 years","Somewhat good","Definitely yes","Very important","Extremely positive","Strongly agree","Space Optimization,Energy Efficiency,Predictive Maintenance,Security,Other (please specify)"
"Student","Female","18-24","Facility","2 - 5 years","Extremely bad","Might or might not","Very important","Somewhat positive","Strongly agree","Space Optimization,Predictive Maintenance,Security"
"Student","Male","18-24","Facility","0 - 6 months","Somewhat good","Probably yes","Moderately important","Somewhat positive","Strongly agree","Predictive Maintenance,Security"
"Student","Female","18-24","Facility","2 - 5 years","Neither good nor bad","Probably yes","Very important","Extremely positive","Somewhat agree","Space Optimization,Energy Efficiency,Predictive Maintenance,Security"
