"demo_role","demo_gender","demo_age","demo_domain","demo_experience","demo_ai_know","fcf_attendFREQ","fcf_useFREQ","fcf_studyPlace","fcf_aePlace","fcf_techSAT","fcf_rmatSAT","fcf_cleanSAT","fcf_atmpSAT","fcf_techAGT","fcf_amentNOM","fcf_topics"
"Educator","Male","> 65","Facility","10 - 20 years","Somewhat good","Always","Sometimes","Other (please specify)","Meeting Rooms","Somewhat satisfied","Somehow satisfied","Somewhat satisfied","Somewhat satisfied","Strongly agree","Probably yes","Predictive Maintenance,Space Optimization,Security & Privacy"
"Educator","Female","25-34","Facility","6 - 12 months","Neither good nor bad","Always","Most of the time","Other (please specify)","Other (please specify)","Somewhat dissatisfied","Somehow satisfied","Extremely dissatisfied","Somewhat satisfied","Strongly agree","Definitely not","Predictive Maintenance,Space Optimization,Security & Privacy"
"Student","Male","18-24","Facility","2 - 5 years","Somewhat good","Always","Sometimes","Library","Classroom/Lecture Hall","Somewhat satisfied","Somehow satisfied","Extremely satisfied","Extremely satisfied","Agree","Probably not","Predictive Maintenance"
"Student","Female","18-24","Facility","0 - 6 months","Neither good nor bad","Always","Most of the time","Other (please specify)","Classroom/Lecture Hall","Extremely satisfied","Extremely satisfied","Extremely satisfied","Neither satisfied nor dissatisfied","Disagree","Definitely yes","Predictive Maintenance"
"Student","Male","18-24","Facility","2 - 5 years","Neither good nor bad","Sometimes","Sometimes","Library","Computer Lab","Neither satisfied nor dissatisfied","Somehow satisfied","Extremely satisfied","Extremely satisfied","Strongly agree","Probably yes","Space Optimization"
"Student","Male","18-24","Facility","2 - 5 years","Neither good nor bad","Most of the time","About half the time","Classroom","Meeting Rooms","Somewhat satisfied","Somehow satisfied","Somewhat satisfied","Somewhat satisfied","Agree","Might or might not","Space Optimization"
"Student","Female","18-24","Facility","1 - 2 years","Neither good nor bad","Most of the time","Sometimes","Classroom","Library","Extremely satisfied","Somehow satisfied","Extremely satisfied","Extremely satisfied","Agree","Might or might not","Space Optimization"
"Student","Female","18-24","Facility","2 - 5 years","Neither good nor bad","Most of the time","Sometimes","Cafeteria","Classroom/Lecture Hall","Neither satisfied nor dissatisfied","Somehow satisfied","Extremely satisfied","Somewhat satisfied","Agree","Probably yes","Predictive Maintenance,Space Optimization"
"Student","Male","18-24","Facility","2 - 5 years","Somewhat good","Never","Never","Outdoor area","Other (please specify)","Somewhat satisfied","Somehow satisfied","Somewhat satisfied","Extremely satisfied","Agree","Probably not","Space Optimization"
"Student","Female","18-24","Facility","0 - 6 months","Neither good nor bad","Always","About half the time","Library","Classroom/Lecture Hall","Somewhat satisfied","Neither satisfied nor dissatisfied","Somewhat satisfied","Extremely satisfied","Neither agree nor disagree","Might or might not","Predictive Maintenance,Space Optimization,Security & Privacy"
