"demo_role","demo_gender","demo_age","demo_domain","demo_experience","demo_ai_know","f_so_belief","f_so_difficulty","f_so_ethical","f_so_adoption"
"2","1","7","8","6","14",5,1,5,36
"2","2","3","8","3","15",5,2,4,37
"1","1","2","8","1","15",4,2,4,35
"1","1","2","8","1","15",5,2,3,35
"1","2","2","8","4","15",4,3,4,36
"1","2","2","8","1","15",4,3,3,36
"1","1","2","8","1","14",4,3,1,36
"1","2","2","8","2","15",4,2,3,37
"1","1","2","8","1","14",5,3,4,36
"1","2","2","8","2","16",5,4,4,35
"1","2","2","8","1","14",4,3,4,36
"1","1","2","8","1","15",5,4,4,36
"1","2","2","8","2","16",4,3,4,36
"1","2","2","8","1","14",4,2,3,36
"1","2","2","8","2","17",4,3,4,36
"1","2","2","8","1","15",3,2,4,35
"1","2","2","8","1","14",5,4,4,37
"1","2","2","8","1","17",3,3,4,35
"1","2","2","8","1","15",5,3,3,36
