"demo_role","demo_gender","demo_age","demo_domain","demo_experience","demo_ai_know","f_so_belief","f_so_difficulty","f_so_ethical","f_so_adoption"
"Educator","Male","> 65","Facility","10 - 20 years","Somewhat good","Definitely yes","Definitely not","Definitely yes","Somewhat likely"
"Educator","Female","25-34","Facility","6 - 12 months","Neither good nor bad","Definitely yes","Probably not","Probably yes","Extremely likely"
"Student","Male","18-24","Facility","2 - 5 years","Neither good nor bad","Probably yes","Probably not","Probably yes","Neither likely nor unlikely"
"Student","Male","18-24","Facility","2 - 5 years","Neither good nor bad","Definitely yes","Probably not","Might or might not","Neither likely nor unlikely"
"Student","Female","18-24","Facility","1 - 2 years","Neither good nor bad","Probably yes","Might or might not","Probably yes","Somewhat likely"
"Student","Female","18-24","Facility","2 - 5 years","Neither good nor bad","Probably yes","Might or might not","Might or might not","Somewhat likely"
"Student","Male","18-24","Facility","2 - 5 years","Somewhat good","Probably yes","Might or might not","Definitely not","Somewhat likely"
"Student","Female","18-24","Facility","0 - 6 months","Neither good nor bad","Probably yes","Probably not","Might or might not","Extremely likely"
"Student","Male","18-24","Facility","2 - 5 years","Somewhat good","Definitely yes","Might or might not","Probably yes","Somewhat likely"
"Student","Female","18-24","Facility","0 - 6 months","Somewhat bad","Definitely yes","Probably yes","Probably yes","Neither likely nor unlikely"
"Student","Female","18-24","Facility","2 - 5 years","Somewhat good","Probably yes","Might or might not","Probably yes","Somewhat likely"
"Student","Male","18-24","Facility","2 - 5 years","Neither good nor bad","Definitely yes","Probably yes","Probably yes","Somewhat likely"
"Student","Female","18-24","Facility","0 - 6 months","Somewhat bad","Probably yes","Might or might not","Probably yes","Somewhat likely"
"Student","Female","18-24","Facility","2 - 5 years","Somewhat good","Probably yes","Probably not","Might or might not","Somewhat likely"
"Student","Female","18-24","Facility","0 - 6 months","Extremely bad","Probably yes","Might or might not","Probably yes","Somewhat likely"
"Student","Female","18-24","Facility","2 - 5 years","Neither good nor bad","Might or might not","Probably not","Probably yes","Neither likely nor unlikely"
"Student","Female","18-24","Facility","2 - 5 years","Somewhat good","Definitely yes","Probably yes","Probably yes","Extremely likely"
"Student","Female","18-24","Facility","2 - 5 years","Extremely bad","Might or might not","Might or might not","Probably yes","Neither likely nor unlikely"
"Student","Female","18-24","Facility","2 - 5 years","Neither good nor bad","Definitely yes","Might or might not","Might or might not","Somewhat likely"
